247439423,247435875
600643487,2271478323
3671342248,258890813
258890813,3671342248
5289829971,5289829982
2173006959,2173006972
258890861,2271478300
2271478300,258890861
2173006972,2173006959
258890799,600643484
2241833907,2241833913
2241833913,2241833907
310506630,258890807
258890810,3671342248
3671342248,258890810
258916408,2271478381
2271478381,258916408
258987137,258987175
258890803,258890808
2271478371,310506632
5289829981,258890802
258890808,258890803
258890807,310506630
310506632,2271478371
310506632,258916408
4428682179,4428682178
2271478271,258890861
258890802,5289829981
258890941,258890883
258890861,2271478271
258916408,310506632
2241833913,2173006972
2173006972,2241833913
258890816,258890805
258891042,310506635
1406262479,1406262478
310506630,258890803
258890869,258890807
258891076,258891078
258891078,258891076
2271543475,303284189
258890939,258891008
258891008,258890939
310505817,258891050
